voltage_1,0x19B50100,8B,type,min,max,multiplier,unit,description,description
,vcell_0,byte(0),float,2,4.55,100,V,Voltage of cell 1,Voltage of cell 1
,vcell_1,byte(1),float,2,4.55,100,V,Voltage of cell 2,Voltage of cell 2
,vcell_2,byte(2),float,2,4.55,100,V,Voltage of cell 3,Voltage of cell 3
,vcell_3,byte(3),float,2,4.55,100,V,Voltage of cell 4,Voltage of cell 4
,vcell_4,byte(4),float,2,4.55,100,V,Voltage of cell 5,Voltage of cell 5
,vcell_5,byte(5),float,2,4.55,100,V,Voltage of cell 6,Voltage of cell 6
,vcell_6,byte(6),float,2,4.55,100,V,Voltage of cell 7,Voltage of cell 7
,vcell_7,byte(7),float,2,4.55,100,V,Voltage of cell 8,Voltage of cell 8
,,,,,,,,,
voltage_2,0x19B50101,8B,type,min,max,multiplier,unit,description,description
,vcell_8,byte(0),float,2,4.55,100,V,Voltage of cell 9,Voltage of cell 9
,vcell_9,byte(1),float,2,4.55,100,V,Voltage of cell 10,Voltage of cell 10
,vcell_10,byte(2),float,2,4.55,100,V,Voltage of cell 11,Voltage of cell 11
,vcell_11,byte(3),float,2,4.55,100,V,Voltage of cell 12,Voltage of cell 12
,vcell_12,byte(4),float,2,4.55,100,V,Voltage of cell 13,Voltage of cell 13
,vcell_13,byte(5),float,2,4.55,100,V,Voltage of cell 14,Voltage of cell 14
,vcell_14,byte(6),float,2,4.55,100,V,Voltage of cell 15,Voltage of cell 15
,vcell_15,byte(7),float,2,4.55,100,V,Voltage of cell 16,Voltage of cell 16
,,,,,,,,,
voltage_3,0x19B50102,8B,type,min,max,multiplier,unit,description,description
,vcell_16,byte(0),float,2,4.55,100,V,Voltage of cell 17,Voltage of cell 17
,vcell_17,byte(1),float,2,4.55,100,V,Voltage of cell 18,Voltage of cell 18
,vcell_18,byte(2),float,2,4.55,100,V,Voltage of cell 19,Voltage of cell 19
,vcell_19,byte(3),float,2,4.55,100,V,Voltage of cell 20,Voltage of cell 20
,vcell_20,byte(4),float,2,4.55,100,V,Voltage of cell 21,Voltage of cell 21
,vcell_21,byte(5),float,2,4.55,100,V,Voltage of cell 22,Voltage of cell 22
,vcell_22,byte(6),float,2,4.55,100,V,Voltage of cell 23,Voltage of cell 23
,vcell_23,byte(7),float,2,4.55,100,V,Voltage of cell 24,Voltage of cell 24
,,,,,,,,,
voltage_4,0x19B50103,8B,type,min,max,multiplier,unit,description,description
,vcell_24,byte(0),float,2,4.55,100,V,Voltage of cell 25,Voltage of cell 25
,vcell_25,byte(1),float,2,4.55,100,V,Voltage of cell 26,Voltage of cell 26
,vcell_26,byte(2),float,2,4.55,100,V,Voltage of cell 27,Voltage of cell 27
,vcell_27,byte(3),float,2,4.55,100,V,Voltage of cell 28,Voltage of cell 28
,vcell_28,byte(4),float,2,4.55,100,V,Voltage of cell 29,Voltage of cell 29
,vcell_29,byte(5),float,2,4.55,100,V,Voltage of cell 30,Voltage of cell 30
,vcell_30,byte(6),float,2,4.55,100,V,Voltage of cell 31,Voltage of cell 31
,vcell_31,byte(7),float,2,4.55,100,V,Voltage of cell 32,Voltage of cell 32
,,,,,,,,,
voltage_5,0x19B50104,8B,type,min,max,multiplier,unit,description,description
,vcell_32,byte(0),float,2,4.55,100,V,Voltage of cell 33,Voltage of cell 33
